method,city,load,train_seed,eval_seed,model_path,events,requests,abandoned,abandon_rate,served_per_tick,served_per_request,avg_reward,median_reward,avg_trip_h,avg_queue_h,median_queue_h,p90_queue_h,p95_queue_h,p99_queue_h,max_queue_h,cvar95_queue_h,var_queue_h,avg_fee,load_gini,action_gini
Local,old_city,40,101,1001,checkpoints_paper_core\sparse15_40ev_seed101_local_old_city\model_final.pth,556,567,0,0.0,3.861111111111111,0.9805996472663139,-0.4396839185506173,-0.33817498635458165,0.43389542810503545,0.028177458033573136,0.0,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.5,0.23039215686274506,0.006799955718878119,91.62606114948046,0.08714141052138458,0.09479717813051147
Local,old_city,40,101,1002,checkpoints_paper_core\sparse15_40ev_seed101_local_old_city\model_final.pth,547,565,0,0.0,3.798611111111111,0.968141592920354,-0.45780760914604546,-0.33186347439207203,0.410471597029341,0.033820840950639856,0.0,0.16666666666666666,0.16666666666666666,0.42333333333332723,0.6666666666666666,0.23717948717948717,0.008860213280869106,92.03517932748375,0.07313794075754831,0.08274336283185835
Local,old_city,40,101,1003,checkpoints_paper_core\sparse15_40ev_seed101_local_old_city\model_final.pth,566,580,0,0.0,3.9305555555555554,0.9758620689655172,-0.4766393366175696,-0.34029520141696323,0.4218570957075937,0.037691401648998826,0.0,0.16666666666666666,0.16666666666666666,0.5,0.6666666666666666,0.23188405797101452,0.009278219647309034,92.01333892694969,0.08627527354867781,0.09396551724137936
Local,old_city,40,101,1004,checkpoints_paper_core\sparse15_40ev_seed101_local_old_city\model_final.pth,541,551,0,0.0,3.7569444444444446,0.9818511796733213,-0.4758898530588302,-0.3405423010164206,0.42815562971538523,0.03758471965495994,0.0,0.16666666666666666,0.16666666666666666,0.5,0.8333333333333333,0.242063492063492,0.010499485788281476,91.17304667386102,0.10421996607108608,0.10753176043557167
Local,old_city,40,101,1005,checkpoints_paper_core\sparse15_40ev_seed101_local_old_city\model_final.pth,555,567,0,0.0,3.8541666666666665,0.9788359788359788,-0.49757222092266234,-0.34177956928078684,0.43650638587788543,0.04144144144144143,0.0,0.16666666666666666,0.3333333333333333,0.5,0.9999999999999999,0.42500000000000016,0.01459892324757206,92.75127719142047,0.08328186169452945,0.09303350970017643
Local,old_city,40,101,1006,checkpoints_paper_core\sparse15_40ev_seed101_local_old_city\model_final.pth,557,566,0,0.0,3.8680555555555554,0.9840989399293286,-0.5459836535531346,-0.35143770167195443,0.4466900512892013,0.0526630760023938,0.0,0.16666666666666666,0.33333333333333326,0.8333333333333333,1.5,0.5213675213675213,0.024356063821138463,92.56537524726302,0.09245197718384945,0.09717314487632511
Local,old_city,40,101,1007,checkpoints_paper_core\sparse15_40ev_seed101_local_old_city\model_final.pth,548,562,0,0.0,3.8055555555555554,0.9750889679715302,-0.526841097694952,-0.3416365059205608,0.4301521879606958,0.04957420924574214,0.0,0.16666666666666666,0.3333333333333333,0.5,0.6666666666666666,0.41134751773049644,0.015334368580579303,91.63515629391235,0.09549670218725415,0.10676156583629903
Local,old_city,40,101,1008,checkpoints_paper_core\sparse15_40ev_seed101_local_old_city\model_final.pth,547,559,0,0.0,3.798611111111111,0.9785330948121646,-0.5039376301215597,-0.34260445187512445,0.43534839336891357,0.04296160877513715,0.0,0.16666666666666666,0.3333333333333333,0.5,0.6666666666666666,0.4062500000000001,0.011713105777789763,92.92694076161159,0.1091684221235023,0.12119856887298752
Local,old_city,40,101,1009,checkpoints_paper_core\sparse15_40ev_seed101_local_old_city\model_final.pth,549,562,0,0.0,3.8125,0.9768683274021353,-0.45826911506640755,-0.32486658209675173,0.40948240152544424,0.03460837887067395,0.0,0.16666666666666666,0.16666666666666666,0.5,0.6666666666666666,0.2375,0.008921669138456692,90.94080862306251,0.08678403602867513,0.09519572953736666
Local,old_city,40,101,1010,checkpoints_paper_core\sparse15_40ev_seed101_local_old_city\model_final.pth,541,549,0,0.0,3.7569444444444446,0.9854280510018215,-0.486009099477774,-0.3399676771599333,0.43184896326754146,0.03943314849044978,0.0,0.16666666666666666,0.3333333333333333,0.5,0.6666666666666666,0.40104166666666674,0.011075957175977352,91.84596844314629,0.08791372314223489,0.10245901639344268
Local,new_city,40,101,1001,checkpoints_paper_core\sparse15_40ev_seed101_local_new_city\model_final.pth,574,587,0,0.0,3.986111111111111,0.9778534923339012,-0.8003428343625343,-0.7870716315874374,0.3206895014953515,0.10365853658536582,0.0,0.3333333333333333,0.5,0.6666666666666666,0.8333333333333333,0.5568181818181819,0.030340854366731607,58.12323025660222,0.12752882723328818,0.13415672913117538
Local,new_city,40,101,1002,checkpoints_paper_core\sparse15_40ev_seed101_local_new_city\model_final.pth,557,573,0,0.0,3.8680555555555554,0.9720767888307156,-0.8074780853745226,-0.7908918005770491,0.32310362464506376,0.11819269898264512,0.0,0.3333333333333333,0.5,0.6666666666666666,0.8333333333333333,0.5660377358490567,0.03575121201930629,57.536990416825,0.13126295802480503,0.14616055846422338
Local,new_city,40,101,1003,checkpoints_paper_core\sparse15_40ev_seed101_local_new_city\model_final.pth,588,601,0,0.0,4.083333333333333,0.978369384359401,-0.7904315158632035,-0.7681172915600345,0.3282282754871934,0.09778911564625836,0.0,0.3333333333333333,0.5,0.6666666666666666,0.6666666666666666,0.5476190476190477,0.0278050137288473,57.5027494866365,0.11191008521680801,0.12271214642262884
Local,new_city,40,101,1004,checkpoints_paper_core\sparse15_40ev_seed101_local_new_city\model_final.pth,554,568,0,0.0,3.8472222222222223,0.9753521126760564,-0.8095323704544024,-0.794056476250157,0.3287844100547585,0.11612515042117924,0.0,0.3333333333333333,0.5,0.6666666666666666,0.8333333333333333,0.5333333333333333,0.031039618513063832,57.76072264480929,0.11217620851230259,0.12676056338028174
Local,new_city,40,101,1005,checkpoints_paper_core\sparse15_40ev_seed101_local_new_city\model_final.pth,577,588,0,0.0,4.006944444444445,0.9812925170068028,-0.7896478926413129,-0.7735759351187299,0.3425033117624254,0.08752166377816294,0.0,0.3333333333333333,0.5,0.6666666666666666,0.8333333333333333,0.5350877192982456,0.0249319090723714,57.92841344576127,0.10540077878258258,0.11564625850340127
Local,new_city,40,101,1006,checkpoints_paper_core\sparse15_40ev_seed101_local_new_city\model_final.pth,581,595,0,0.0,4.034722222222222,0.9764705882352941,-0.8095109108185072,-0.7851344309835218,0.3292290341150379,0.11244979919678712,0.0,0.3333333333333333,0.5,0.6666666666666666,0.6666666666666666,0.560897435897436,0.032870437573587284,58.04918413405247,0.12205234530440445,0.13571428571428568
Local,new_city,40,101,1007,checkpoints_paper_core\sparse15_40ev_seed101_local_new_city\model_final.pth,572,586,0,0.0,3.9722222222222223,0.9761092150170648,-0.8109967418453934,-0.7908720373178266,0.3077568700546563,0.13024475524475512,0.0,0.5,0.5,0.6666666666666666,0.8333333333333333,0.5537634408602151,0.037280670475600484,57.24481332168122,0.1312890300776488,0.14761092150170652
Local,new_city,40,101,1008,checkpoints_paper_core\sparse15_40ev_seed101_local_new_city\model_final.pth,561,573,0,0.0,3.8958333333333335,0.9790575916230366,-0.8098592669830785,-0.7877514063973952,0.3318573027211289,0.11942959001782534,0.0,0.5,0.5,0.6666666666666666,0.8333333333333333,0.5428571428571428,0.037132889130372715,57.44654058654701,0.1262183225964304,0.1417975567190226
Local,new_city,40,101,1009,checkpoints_paper_core\sparse15_40ev_seed101_local_new_city\model_final.pth,570,584,0,0.0,3.9583333333333335,0.976027397260274,-0.7821013889151179,-0.7695200094469365,0.3068842496288343,0.09298245614035089,0.0,0.3333333333333333,0.5,0.5516666666666575,0.8333333333333333,0.5324074074074074,0.02468759618344119,57.635632690865194,0.12360566088501201,0.13527397260273966
Local,new_city,40,101,1010,checkpoints_paper_core\sparse15_40ev_seed101_local_new_city\model_final.pth,562,577,0,0.0,3.9027777777777777,0.9740034662045061,-0.7945973946235547,-0.7792558190771941,0.32094459845851325,0.09845788849347564,0.0,0.3333333333333333,0.5,0.6666666666666666,0.8333333333333333,0.5583333333333333,0.028364565348012755,58.00970256109493,0.12064749255759666,0.13561525129982677
